colorize_via_pygmentize;1447;0.03;;
openssl;1446;0.03;;
_rake_command;1430;0.03;;
mysqladmin5;1429;0.03;;
mvn-color;1420;0.03;;
edit;1414;0.03;;
rg;1411;0.03;;
ggu;1402;0.03;;
"""$CURL""";1400;0.03;;
"""$WGET""";1400;0.03;;
fastfile;1397;0.03;;
fastfile_ls;1397;0.03;;
fastfile_print;1397;0.03;;
fastfile_rm;1397;0.03;;
fastfile_sync;1397;0.03;;
'$(fastfile_get ;1396;0.03;;
terraform;1396;0.03;;
'';1393;0.03;;
while;1393;0.03;;
protected/yiic;1384;0.03;;
$ZSH/plugins/cloudapp/cloudapp.rb;1383;0.03;;
/System/Library/CoreServices/Menu\;1374;0.03;;
st_run;1372;0.03;;
opt_unalias;1364;0.03;;
gcc;1360;0.03;;
/Applications/Google\;1358;0.03;;
pkill;1348;0.03;;
g++;1344;0.03;;
ssh-add;1339;0.03;;
kate;1329;0.03;;
bundle_install;1327;0.02;;
sshfs;1326;0.02;;
la;1319;0.02;;
mkfile;1315;0.02;;
tput;1315;0.02;;
umount;1315;0.02;;
`_symfony_console`;1313;0.02;;
/System/Library/Frameworks/CoreServices.framework/Frameworks/LaunchServices.framework/Support/lsregister;1301;0.02;;
column;1296;0.02;;
reload;1295;0.02;;
setxkbmap;1288;0.02;;
TERM=screen-256color-bce;1275;0.02;;
be;1264;0.02;;
spring;1260;0.02;;
-E;1257;0.02;;
${_pacman_frontend};1255;0.02;;
tcpdump;1255;0.02;;
cowthink;1247;0.02;;
startpost;1237;0.02;;
stoppost;1236;0.02;;
function;1217;0.02;;
chuck;1213;0.02;;
ppa-purge;1207;0.02;;
feh;1204;0.02;;
jupyter;1194;0.02;;
mpv;1192;0.02;;
bbedit;1186;0.02;;
hexdump;1179;0.02;;
"\""\$@\""";1170;0.02;;
c;1170;0.02;;
./vendor/bin/phpunit;1166;0.02;;
trash;1163;0.02;;
_mix_refresh;1159;0.02;;
gdb;1156;0.02;;
journalctl;1151;0.02;;
sc-disable;1134;0.02;;
sc-enable;1134;0.02;;
sc-mask;1134;0.02;;
bbdiff;1127;0.02;;
softwareupdate;1126;0.02;;
"PATH=""$(npm bin)"":""$PATH""";1120;0.02;;
kgp;1114;0.02;;
cd_func;1112;0.02;;
>/dev/null;1111;0.02;;
$PAGER;1100;0.02;;
/Applications/Sublime\;1097;0.02;;
cask;1096;0.02;;
v;1096;0.02;;
xterm;1094;0.02;;
geeknote;1083;0.02;;
n-aliases;1078;0.02;;
n-kill;1078;0.02;;
${aliases[ls]:-ls};1074;0.02;;
telnet;1071;0.02;;
apachectl;1046;0.02;;
${_rsync_cmd};1044;0.02;;
npms;1040;0.02;;
shasum;1040;0.02;;
/usr/local/bin/vim;1039;0.02;;
package-menu;1036;0.02;;
package-version;1036;0.02;;
stty;1036;0.02;;
xtree;1036;0.02;;
latest-version;1035;0.02;;
cfp;1032;0.02;;
display_info;1032;0.02;;
grunt;1032;0.02;;
clipcopy;1030;0.02;;
pylint;1023;0.02;;
open_command;1018;0.02;;
st_run_sudo;1014;0.02;;
startx;1003;0.02;;
nmcli;1001;0.02;;
ngrep;998;0.02;;
homesick;990;0.02;;
emerge;982;0.02;;
ansible-playbook;974;0.02;;
sqlite3;964;0.02;;
jq;958;0.02;;
dssh;956;0.02;;
bash-it;954;0.02;;
todo.sh;946;0.02;;
[;945;0.02;;
find_project;943;0.02;;
gcloud;940;0.02;;
gitd;940;0.02;;
lwp-request;936;0.02;;
cpd;932;0.02;;
deactivate;930;0.02;;
cddl;927;0.02;;
gpg;917;0.02;;
ncmpcpp;907;0.02;;
LC_ALL=C;899;0.02;;
workon;899;0.02;;
lt;893;0.02;;
e;892;0.02;;
valgrind;886;0.02;;
xrdb;885;0.02;;
/Applications/MacVim.app/Contents/MacOS/Vim;884;0.02;;
cmake;884;0.02;;
/usr/bin/pacman;880;0.02;;
mpc;879;0.02;;
neofetch;878;0.02;;
stack;876;0.02;;
Xvfb;864;0.02;;
cargo;851;0.02;;
conda;850;0.02;;
log;845;0.02;;
./gradlew;844;0.02;;
cygstart;839;0.02;;
hadoop;828;0.02;;
stat;823;0.02;;
cdd;819;0.02;;
gsed;819;0.02;;
gp;818;0.02;;
nautilus;816;0.02;;
ipfw;802;0.02;;
firefox;784;0.01;;
:;780;0.01;;
else;771;0.01;;
flutter;759;0.01;;
reflector;756;0.01;;
psql;751;0.01;;
'$_sublime_path';748;0.01;;
vault;742;0.01;;
say;726;0.01;;
xset;719;0.01;;
kgd;715;0.01;;
kgs;715;0.01;;
sp-dbus;712;0.01;;
fg;706;0.01;;
cal;704;0.01;;
dc;703;0.01;;
z;703;0.01;;
networksetup;701;0.01;;
s;695;0.01;;
SCRIPTME=1;684;0.01;;
/System/Library/Automator/Combine\;678;0.01;;
mutt;677;0.01;;
unalias;675;0.01;;
shopt;669;0.01;;
chgrp;667;0.01;;
bubc;666;0.01;;
bubo;666;0.01;;
pmset;664;0.01;;
t;664;0.01;;
/dev/null;659;0.01;;
gmake;655;0.01;development;
script/console;649;0.01;;
javac;645;0.01;development;
run;645;0.01;;
